,roles,companies,locations,experience,salary,skills,Description,Roles,Education
164,Data Scientist - DS & AI Ecosystem - Center Of Excellence,Market Scope,Hyderabad,8 - 10 years,Not Disclosed,"Key Skills
Data ScienceData ScientistArtificial IntelligenceData ManagementAIData AnalyticsAnalytics","Roles and Responsibilities
Operational/Executive Management :

- Define CoE strategy and roadmap to develop a vibrant DS & AI ecosystem in the country and realize the vision & objectives of CoE

- Identifies opportunities of collaboration. Adopt a - String of Pearls approach to build a powerful eco-system of stakeholders across Innovators, Technology players, ISPs, Academia & Government for the enable the CoE to be the catalyst for innovation, research, adoption, and skill & talent development

- Identify and raise funds from Government & industry partners to grow the CoE towards a self-sustaining basis over five (5) years of its operation

- Implements common CoE vision, oversees the execution of the CoE business strategy, and manages all resources including people, process, infrastructure, to deliver the agreed deliverables and create value to the industry, government, and academia partners

Lead efforts to develop DS & AI policies :

- Manages relationship with external agencies, partners, and government as appropriate to enable smooth operations and profitable growth of CoE activities

- Explores alliances with international organizations & bodies to enhance the capabilities of DS & AI in the country

- Represents the CoE to the public and outside groups, organizations, and agencies; responds to a wide variety of questions and comments

Managerial Excellence :

- Sets direction and vision for the business, team and helps them achieve/excel

- Identify, build, and nurture a collaborative network of organizations towards developing a vibrant DS & AI ecosystem

- Defines & manages CoE's positioning both externally and internally

- Promotes a mindset within CoE for sustained success, profitable growth and diversity

- Continually enhances own skills and builds knowledge in all aspects of the organization, the business and information system

Knowledge, Skills, Qualifications, Experience :

- Management degree (MBA - Strategy / Systems/ Marketing/ General) from Tier-1 institute) with understand of technology

- Experience in building an ecosystem integrating various stakeholders including industry, academia, and government

- Led programs with at-least one project of revenue of over TCV $20M USD spread over multiple geographies and domains

- Appreciation of deep technology areas like Data Science, AI and associated products","RoleData Analyst
Industry TypeIT-Software, Software Services
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :Any Graduate in Any Specialization
PG :MBA/PGDM in Any Specialization, Marketing, Systems
Doctorate :Doctorate Not Required"
165,Analyst Data Scientist,CAMSDATA TECHNOLOGIES INDIA PVT LTD,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad",3 - 8 years,Not Disclosed,"Key Skills
Computer scienceEvaluationData analysisEmailData managementToolsInformation retrievalData processingData miningAnalytics","Job Description:

Build an in-depth understanding of the problem domain and available data assets
Research, design, implement, and evaluate machine learning approaches and models
Perform ad-hoc exploratory statistics / data mining tasks on diverse datasets - small scale to big data
Participate in data architecture and engineering decision-making to support analytics
Take initiative in evaluating and adapting new approaches from data science research
Investigate data visualization and summarization techniques for conveying key findings
Communicate findings and obstacles to stakeholders to help drive the delivery to market
Code your solutions (this is a hands-on position requiring strong programming skills) Key Requirements:

Professional experience as a data scientist or a related software engineering role
Graduate degree (M S) in mathematics, computer science or other quantitative discipline
Thorough understanding of probability and statistics, Bayesian methods, time series analysis
Strong programming skills (in any language)
Great communication skills, team player, self-starter, demonstrated strong work ethic
Desire to use modern technologies as a disruptive influence within the Finance domain
Expertise in Statistics, Empirical Data Analysis, Machine Learning or Natural Language Processing
Experience and in-depth knowledge of Python and other modern programming languages
Experience in a specialized statistical computing environment, preferably R
Experience in practical data processing, data mining, text mining and information retrieval tasks
Experience in scalable data management tools - Relational and No S Q L databases
Knowledge of Big Data architectures a strong plus
Knowledge of Pythons data analysis and machine learning libraries a strong plus Dreaming up - and Building Please Enter Name Please Enter Contact No. Only 10 Digit no. Required Please Enter Valid Email-I D Invalid Email id Please Enter Skill Please Enter E X P Level (Pdf / Docx, Doc) Please Upload Resum","RoleSales Executive/Officer
Industry TypeIT-Software, Software Services
Functional AreaSales, Retail, Business Development
Employment TypeFull Time, Permanent
Role CategoryInstitutional Sales","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
166,Data Scientist,TrueView HR Consulting Pvt. Ltd,Pune,5 - 10 years,Not Disclosed,"Key Skills
RStatistical SoftwareSASFactor AnalysisWeb TechnologiesPySparkTime SeriesData VisualizationTableauStatisticsSQLPython","PoData Scientist | IT MNC | Pune 

 5 - 7 years of industry experience required
Bachelors or Masters degree in Mathematics, Statistics, Economics, Finance, or Engineering required
Strong experience in SQL programming required
Statistical software: SAS, R, strongly preferred, Python, PySpark a plus
Must have strong experience with statistical concepts and applying statistical techniques such as regression, nave Bayes, decision trees, clustering, factor analysis, time series, random forest, gradient boosting algorithms, etc. to solve business problems
Understanding of digital data including the systems and processes used to generate and manipulate it by media type (web, ad, email, mobile, etc.) a plus
Experience in data visualization tools like Tableau a plus.","RoleOther
Industry TypeIT-Software, Software Services
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryOther","Education
UG :B.Tech/B.E. in Any Specialization, B.Sc in Maths, Statistics, B.A in Economics, Statistics, Maths
PG :MS/M.Sc(Science) in Statistics, Maths, M.A in Maths, Economics, Statistics, MBA/PGDM in Finance, M.Tech in Any Specialization
Doctorate :Doctorate Not Required"
167,Data Scientist - ML and Py Spark,Consult Shekhar Pandey,Pune,6 - 7 years,"₹ 25,00,000 - 40,00,000 P.A.","Key Skills
Capital MarketKYCComplianceReference DataGlobal OperationsAsset ManagementVPAvpVendor ManagementInvestment ComplianceWealthAuditing","Seeking Data Scientists - with ML and Py Spark experience - Techno Functional Role
Our Client is a leading global wealth manager with strong investment banking capabilities. They have a global reach with operations in about 50 countries and employ more than 45,000 people from over 150 different nations. Embodying entrepreneurial spirit, Our Client delivers holistic financial solutions to clients, including innovative products and specially tailored advice. Striving for quality and excellence in work, recognize and reward extraordinary performance among employees, provide wide-ranging training and development opportunities, and benefit from a diverse range of perspectives to create value for our clients, shareholders and communities.

Description
Group Operations carries out high-quality and efficient banking services to clients across. Our Clients business divisions ensuring an excellent execution of millions of transactions every day. We operate globally in four regions 'Switzerland', 'APAC', 'Americas' and 'UK Entities, Wroclaw & other Regional Offices'. Pune forms one of the major service delivery centers for our client where activities related to trade validation, settlement, reconciliation and reference data services are performed. Group Operations Pune is a vibrant location known for delivering excellence in an agile environment.

A department which values Diversity and Inclusion (D&I) and is committed to realizing the firms D&I ambition which is an integral part of our global Conduct and Ethics Standards.
By joining our client you will have a chance to build up your career by performing a variety of significant tasks:
Become a part of our Instruments, Reference Data team focusing on building and driving new technologies in various fields. Act the role of a Business Project Manager for Big Data and ML projects in an international and fast paced environment, Chance to lead, document, plan, market, and execute projects.
Opportunity to work on the business side and coordinate/guide the IT team in development, validation, deployment and maintenance.
The chance to work with the Big Data engineering team and data scientists to incorporate your business analyses and proposed designs and solutions, including working with the visualization team to build intuitive UI and rich UX-stories.
Opportunity to communicate solutions across the own function and with cross-functional partner divisions.
Opportunity to collaborate with business partners across divisions to understand business challenges and communicate/execute analytical solutions to optimize business processes.

Qualifications
Understand the value of diversity in the workplace and is dedicated to fostering an inclusive culture in all aspects of working life so that people from all backgrounds receive equal treatment, realize their full potential and can bring their full, authentic selves to work. This should be further elaborated on in your application.

PhD or Master degree in Computer Science or Data Science or a quantitative field (Statistics, Mathematics, Economics)

Working experience of 6+ years in applying Machine Learning techniques to real business problems.

Proven experience in building enterprise level solutions with Machine Learning/AI techniques including Deep learning techniques (RNN, CNN, GAN, etc), Support Vector Machines; Regularization Techniques; Boosting, Random Forests, Ensemble Methods, image/video/audio processing, Bayesian modeling, time series modeling

Strong implementation experience with high-level languages and frameworks such as R, Python.
Expert with relational database programming and distributed data processing at scale using Spark or/and Hive, Impala.

Experienced in No SQL databases HBASE.
Feel at ease in assembling data sets from disparate sources and analyze using appropriate quantitative methodologies, computational frameworks and systems.
Established project management skills and can work under pressure.
Excellent people management abilities and good communication skills that assist with the development of strong positive relationships even with senior level executives.
Outstanding presentation skills to present project plans, technical roadmaps, risks and recommendations to senior business leaders
Our Client is an equal opportunity employer. Welcoming diversity gives us a competitive advantage in the global marketplace and drives our success.","RoleHead/VP/GM-Investment Banking
Industry TypeBanking, Financial Services, Broking
Functional AreaFinancial Services, Banking, Investments, Insurance
Employment TypeFull Time, Permanent
Role CategorySenior Management","Education
PG :M.Tech in Computers
Doctorate :Ph.D in Computers"
168,Designation: Junior Data Scientist | Academic Operations,WSD CONSULTANT PRIVATE LIMITED,"Chennai, Pune, Delhi NCR, Bengaluru, Hyderabad",1 - 6 years,Not Disclosed,"Key Skills
MentoringE - learning","Involve in the residency class room sessions to facilitate lectures and lab sessions
Be the first point contact for participants for academic queries and manage discussion
groups
Monitor participants' academic performance","RoleOther
Industry TypeEducation, Teaching, Training
Functional AreaOther
Employment TypeFull Time, Permanent
Role CategoryOther","Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required"
169,Data Scientist,XTGLOBAL INFOTECH LIMITED,Hyderabad,10 - 15 years,Not Disclosed,"Key Skills
RPredictive AnalyticsPython","Job description
Responsibilities
We are looking for a Data scientist to help us achieve our bold goals in building the next gen intelligent Enterprise Commerce platform. The ideal candidate will have good Machine Learning knowledge with hands on experience in solving complex real-world ML problems. In addition, the candidate will have knowledge of one or more ML frameworks and a deep understanding of the different types of machine learning algorithms and their applications with hands-on experience in implementing solutions with at least a few of them.
Deliver E2E Machine learning based solutions with measurable quality metrics meeting the business/customer need
Ability to design and build an efficient data pipeline that can train, test and deploy high quality models into production
Ability to establish the right set of metrics for measuring the quality of the ML solution, which are reflective of the quality needs of the customer and accurately tracks the usefulness of the solution
Ability to write scalable and quality scripts for data wrangling with a good understanding of the data in the context of the business process
Collaborate with rest of the team to drive decision making and roadmaps with focus on outcomes

Qualifications
3+ years of experience in working on real-world ML/AI problems and shipping the solutions to production with real business impact
3+ years of experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets is required.
Experience with experiments, machine learning, anomaly detection, predictive analysis, exploratory data analysis, and/or other areas of data science on a large-scale product.
Experience with coordinating specific phases of data analytics (extraction, analysis, manipulation, synthesis, summary, validation, testing, and maintenance) with the objective of creating and building predictive models and algorithms is highly desired.
Advanced data visualization experience is a plus.
Engineering experience using large data systems on SQL, Hadoop, Hive queries, etc.is nice to have.","RoleBio/Pharma Informatics-Associate/Scientist
Industry TypeIT-Software, Software Services
Functional AreaMedical, Healthcare, R&D, Pharmaceuticals, Biotechnology
Employment TypeFull Time, Permanent
Role CategoryR&D","Education
UG :Any Graduate in Any Specialization"
170,Data Scientist - Machine Learning/APICS,CarbyneTech India,Hyderabad,3 - 8 years,Not Disclosed,"Key Skills
Data ScienceRNLPArtificial IntelligenceData ManagementMachine LearningPythonPredictive Analytics","Roles and Responsibilities
Role : Data Scientist

Required Experience : 3 - 8 Years

Job Requirements :

- 3+ Years of experience in machine learning and AI analytics.

- Expert knowledge in Python, R, Anaconda, Ai, ML, Deep Learning, Neural networks, NLP.

- Manufacturing domain - predictive and online quality analytics - experience would be preferred.

- Knowledge in machine learning models using model-based clustering and generic algorithms for predictions.

- Good educational background - Math and Stat application.

- Methodical and Aggressive learner.

- Must have APICS CPIM Certification .","RoleData Analyst
Industry TypeAccounting, Finance
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :B.Sc in Any Specialization, BCA in Computers, B.Tech/B.E. in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
171,Data Scientist - Machine Learning/ Python,CarbyneTech India,Hyderabad,3 - 8 years,Not Disclosed,"Key Skills
Predictive ModelingRData ScientistData ManagementMachine LearningPythonSQL","Job Description :

- You have at least 2 year experience, ideally within a Statistician role.

- You possess strong knowledge of R, Python and SQL and experience in building and scaling models for time series.

- Strong expertise in Math/ Statistics, Machine Learning and Predictive Modelling (Regression, Neural Networks etc) would be highly valuable.

- You have strong interpersonal and communication skills and are adept at working with multiple stakeholders to drive desired outcomes

- You possess strong analytical skills and are comfortable dealing with numerical data

- You pay strong attention to detail and deliver work that is of a high standard

- You are a creative problem solver and can multitask in fast-paced environments","RoleData Analyst
Industry TypeAccounting, Finance
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :B.Tech/B.E. in Any Specialization, BCA in Computers, B.Sc in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
172,AVP - Data Scientist - KPO,Elixir Web Solutions,Gurgaon Gurugram,10 - 15 years,Not Disclosed,"Key Skills
Data ScienceData ScientistArtificial IntelligenceData ManagementData AnalyticsMachine LearningStatisticsAnalyticsPythonSQL","Roles and Responsibilities
Looking for AVP with 10+ years of Data Scientist Professional for Gurgaon Analytics firm:

- Candidate should have Machine learning experience Mandatory.

- Should have atleast 10+ Years of Analytics experience.

- We need a person who is very strong in Python coding

- Strong Model Building experience required

- Should have strong working knowledge on Supervised and unsupervised data

- Experienced 10-15 years of relevant experience.

- Candidate should be from Analytics organisation. (No start up)

Level - AVP

Location - Gurgaon

Key Responsibilities & Skillsets:

Common Skillsets:

- 10+ years of experience in analytics, machine learning, advanced statistical techniques, AI and data engineering jobs.

- Excellent communication & presentation skills

- Experience in managing Python codes and collaborating with customer on model evolution

- Excellent in project management, team management and conflict management skills

- Good knowledge of data base management and Hadoop/ Spark, SQL, HIVE, Python (expertise).

- Superior analytical and problem solving skills

- Should be able to work on a problem independently and prepare client ready deliverable with minimal or no supervision

Candidate Profile:

- Bachelors/ Master's degree in economics, mathematics, actuarial sciences, computer science / engineering, operations research or related analytics areas; candidates with BA / BS degrees in the same fields from the top tier academic institutions are also welcome to apply

- Strong and in-depth understanding of statistics

- Data analysis experience

- Superior analytical and problem solving skills

- Outstanding written and verbal communication skills

- Able to work in fast pace continuously evolving environment and ready to take up challenges

- Able to understand cross cultural differences and can work with clients across the globe.","RoleHead/VP/GM - Analytics & BI
Industry TypeKPO, Research, Analytics
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategorySenior Management","Education
UG :BCA in Computers, B.Sc in Maths, Computers, B.A in Economics, Maths, B.Tech/B.E. in Computers
PG :MS/M.Sc(Science) in Computers, Maths, MCA in Computers, M.Tech in Computers, M.A in Maths, Economics
Doctorate :Doctorate Not Required"
173,Data Scientist - NLP/ML/Python,Elixir Web Solutions,Gurgaon Gurugram,4 - 8 years,Not Disclosed,"Key Skills
NLPData EngineeringArtificial IntelligenceData AnalysisSparkMachine LearningStatisticsDeep LearningPythonSQL","Roles and Responsibilities
Immediate Joiners required

We are looking out for core Data Scientist professionals:

- Candidates should be strong in Machine learning models.

- Strong in NLP

- Machine learning techniques/Deep learning

- We need someone who is hands on Python coding and scripting.

- Should be open to Individual Contributor (IC) role

- Candidate should be handling projects independently and hands on with coding and scripting.

- should be strong in building machine learning models.

- Candidate with B.tech IIT or dual degree 3+ years can apply.

- MBA or Master degree with Tier colleges with 4 years+ can apply for Manager and above roles.

- We required core Data Scientist person with relevant years of experience in ML/NLP and Python coding.

Common Skillsets:

- Experience in analytics, machine learning, advanced statistical techniques, AI and data engineering jobs.

- Excellent communication & presentation skills

- Experience in managing Python codes and collaborating with customer on model evolution

- Excellent in project management, team management and conflict management skills

- Good knowledge of data base management and Hadoop/Spark, SQL, HIVE, Python (expertise).

- Superior analytical and problem solving skills

- Should be able to work on a problem independently and prepare client ready deliverable with minimal or no supervision

Data Management Skillsets:

- Ability to understand data models and identify ETL optimization opportunities. Exposure to ETL tools is preferred

- Should have strong grasp of advanced SQL functionalities (joins, nested query, and procedures).

- Strong ability to translate functional specifications / requirements to technical requirements

Candidate Profile:

- Bachelors/Master's degree in economics, mathematics, actuarial sciences, computer science/engineering, operations research or related analytics areas; candidates with BA/BS degrees in the same fields from the top tier academic institutions are also welcome to apply

- Strong and in-depth understanding of statistics

- Data analysis experience

- Superior analytical and problem solving skills

- Outstanding written and verbal communication skills

- Able to work in fast pace continuously evolving environment and ready to take up challenges

- Able to understand cross cultural differences and can work with clients across the globe","RoleAnalytics Manager
Industry TypeIT-Software, Software Services
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :B.A in Economics, Maths, BCA in Computers, B.Tech/B.E. in Computers, B.Sc in Maths, Computers
PG :MCA in Computers, M.Tech in Computers, MS/M.Sc(Science) in Computers, Maths, MBA/PGDM in Any Specialization, M.A in Maths, Economics, Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
174,AVP - Data Scientist - KPO,Elixir Web Solutions,Gurgaon Gurugram,10 - 15 years,Not Disclosed,"Key Skills
Data ScienceData ScientistArtificial IntelligenceData ManagementData AnalyticsMachine LearningStatisticsAnalyticsPythonSQL","Looking for AVP with 10+ years of Data Scientist Professional for Gurgaon Analytics firm:

- Candidate should have Machine learning experience Mandatory.

- Should have atleast 10+ Years of Analytics experience.

- We need a person who is very strong in Python coding

- Strong Model Building experience required

- Should have strong working knowledge on Supervised and unsupervised data

- Experienced 10-15 years of relevant experience.

- Candidate should be from Analytics organisation. (No start up)

Level - AVP

Location - Gurgaon

Key Responsibilities & Skillsets:

Common Skillsets:

- 10+ years of experience in analytics, machine learning, advanced statistical techniques, AI and data engineering jobs.

- Excellent communication & presentation skills

- Experience in managing Python codes and collaborating with customer on model evolution

- Excellent in project management, team management and conflict management skills

- Good knowledge of data base management and Hadoop/Spark, SQL, HIVE, Python (expertise).

- Superior analytical and problem solving skills

- Should be able to work on a problem independently and prepare client ready deliverable with minimal or no supervision

Candidate Profile:

- Bachelors/Master's degree in economics, mathematics, actuarial sciences, computer science/engineering, operations research or related analytics areas; candidates with BA/BS degrees in the same fields from the top tier academic institutions are also welcome to apply

- Strong and in-depth understanding of statistics

- Data analysis experience

- Superior analytical and problem solving skills

- Outstanding written and verbal communication skills

- Able to work in fast pace continuously evolving environment and ready to take up challenges

- Able to understand cross cultural differences and can work with clients across the globe","RoleHead/VP/GM - Analytics & BI
Industry TypeKPO, Research, Analytics
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategorySenior Management","Education
UG :B.Sc in Any Specialization, Maths, Computers, B.A in Any Specialization, Economics, Maths, BCA in Computers, B.Tech/B.E. in Computers
PG :MCA in Computers, M.Tech in Computers, MS/M.Sc(Science) in Computers, Maths, M.A in Maths, Economics"
175,Data Scientist - Machine Learning/ NLP,Talpro,Gurgaon,2 - 4 years,Not Disclosed,"Key Skills
Pattern RecognitionRNLPLogistic RegressionMySQLComputer VisionMachine LearningDeep LearningPythonSQL","Data Scientist - Machine Learning/NLP (2-4 yrs)

Please target folks with experience in deep learning models, neural network, computer vision, image recognition, pattern recognition etc. and premiere colleges.

Job Description :

- Closely work with supply chain, pricing, and product teams to improve the overall efficacy of the system.

- Understand business, formulate problems, extract relevant information, develop models, pilot and A/B test results.

Desired Competencies :

- B.Tech/ B.E. /M.Tech. Graduate in Computer Science or related fields is preferable.

- 2-6 yrs. or relevant work experience.

- Understanding/experience in NLP, NN and Computer Vision

- Fluent in the programming languages - Python/R.

- Adept at Machine Learning Concepts - The deeper, the better. (SVM, Random Forests, Logistic Regression, Bagging and Boosting, Linear and Nonlinear models, Bayesian theory, Recommendation systems etc.)

- Working knowledge of a query language SQL/MySQL.

- Knowledge of visualization tools like R-Shiny/Matplotlib

- Experience in the development of ML models at scale and taking them into the production environment is a big plus.
Required Candidate profile
B.Tech/ B.E. /M.Tech. Graduate in Computer Science or related fields is preferable.","RoleData Analyst
Industry TypeIT-Software, Software Services
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :Any Graduate in Any Specialization, B.Tech/B.E. in Any Specialization, Computers
PG :M.Tech in Computers, Any Specialization, Any Postgraduate in Any Specialization
Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required"
176,Data Scientist - KPO,Huquo Consulting Pvt. Ltd,Gurgaon Gurugram,2 - 4 years,Not Disclosed,"Key Skills
Predictive ModelingData ScienceData ScientistData ManagementStatistical ModelingTableauData AnalyticsStatisticsAnalyticsPython","Roles and Responsibilities
- Managing Statistical Modeling including logistic regression, Forecasting and linear regression models

- Should be able to work on a problem independently and prepare client ready deliverable with minimal or no supervision

- Good knowledge of tool like Python or R for Stats Modeling.
- Managing tableau.

- Should be able to mentor junior analysts in the team

- Good communication skill for client interaction","RoleData Analyst
Industry TypeKPO, Research, Analytics
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
177,Data Scientists - (on 6 months Contract role),Search Advisers Services ( GUJ ) Pvt. Ltd.,"Gandhinagar, Ahmedabad",2 - 7 years,Not Disclosed,"Key Skills
KibanaPostgresqlData StructuresHadoopMetadataBig DataData MiningFlumeTableauMachine LearningSQLPigData ScienceRHiveNoSQLStatistical ModelingMongoDBSparkQlikViewElastic SearchPythonPredictive Analytics","Hiring Data Scientists for a Startup. It is a 6 months contract role

Skill:
Experience working with and extracting value from large, disconnected and/or unstructured datasets
Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management
Strong interpersonal skills and ability to project manage and work with cross-functional teams
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Experience of statistical modelling – Data mining, Predictive Analysis, Machine learning, etc.
Ability to produce clear graphical representations and data visualizations.
Experience and exposure to Central/ State government projects will be an added advantage
Experience with the following tools and technologies will be an added advantage:
Hadoop Ecosystem (Hive, Pig, Flume, Spark), ELK Stack (Elastic Search & Kibana)
Visualization Tools – Tableau, QlikView, etc
Relational SQL and NoSQL databases (PostgreSQL, MongoDB)
Proficient and experience in languages such as Python, R","RoleData Analyst
Industry TypeIT-Software, Software Services
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Temporary/Contractual
Role CategoryAnalytics & BI","Education
UG :B.Tech/B.E. in Any Specialization
PG :MCA in Any Specialization, MBA/PGDM in Any Specialization
Doctorate :Ph.D in Any Specialization"
178,Data Scientist,GlobalHunt India Private Limited,Delhi,3 - 6 years,Not Disclosed,"Key Skills
GCPAimlKerasData AnalyticsMachine LearningAWSScikit-LearnDeep LearningNumpyPython","Exciting Opportunity with Leading Conglomerate Company.

Job Role :- Data Scientist

Job Location :- New Delhi.

Roles and Responsibilities
Should have comfort in working in either of the AIML platforms of AWS, Azure or GCP AND be proficient in python or similar for use in data analytics
Must have prior experience of using AIML tools related to demand forecasting, churn prediction, credit score, etc
Proficient in machine learning toolkits such as scikit-learn, numpy, pandas and deep learning framework such as Tensor Flow or Keras
Should have experience in data exploration and visualization, feature engineering, hyper parameter tuning, ML algorithm analysis and defining validation strategies
Automate ML model deployments and manage machine learning infrastructure
Lead cross-functional projects using advanced data modelling and analysis techniques to discover insights.
Build, develop and maintain data models, reporting systems, data automation systems, dashboards and performance metrics support that support key business decisions.
Supervise analyst-level employees and ensure accuracy in deliverables.
Manage and optimize processes for data intake, validation, mining and engineering as well as modeling, visualization and communication deliverables.
Examine, interpret and report results of analytical initiatives with business impact, to relevant stakeholders.
Oversee the data/report requests process: tracking requests submitted, prioritization, approval, etc.
Develop and implement quality controls and departmental standards to ensure quality standards, organizational expectations and regulatory requirements.","RoleTechnical Architect
Industry TypeConstruction, Engineering, Cement, Metals
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
179,Data Scientist - Python - Banking Domain,Huquo Consulting Pvt. Ltd,Delhi NCR,1 - 4 years,Not Disclosed,"Key Skills
Data ScientistData ManagementData MiningSparkData ModelingData StructurePythonHBase","Looking for self-driven Python data scientists having 1-4 years of experience of coding in Python.

Must have knowledge in the following areas :

1. Data Structures - Lists, Tuples & Dictionaries

2. Familiarity with pandas, numpy, scikit-learn & scipy

3. Basics of Visualization tools & techniques - maptlotlib, seaborn

4. Text mining techniques and libraries in Python - e.g. NLTK basics

5. Modelling techniques - e.g. Regression (Linear and logit), Classification (SVM, NaiveBayes,etc.)

6. Knowledge of PySpark and Hbase","RoleOther
Industry TypeBanking, Financial Services, Broking
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryOther","Education
UG :BCA in Computers, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
